Identifiers	Set Identifiers	Name	Pitch	Cost	Power	Defense	Health	Intelligence	Rarity	Types	Card Keywords	Abilities and Effects	Ability and Effect Keywords	Granted Keywords	Functional Text	Flavor Text	Type Text	Artists	Card Played Horizontally	Blitz Legal	CC Legal	Commoner Legal	Blitz Living Legend	CC Living Legend	Blitz Banned	CC Banned	Commoner Banned	Blitz Suspended Start	Blitz Suspended End	CC Suspended Start	CC Suspended End	Commoner Suspended Start	Commoner Suspended End	Variations	Image URLs			
HER001, HER021, WIN001, RNR001, 1HP001, WTR001, CRU001	HER, HER, WIN, RNR, 1HP, WTR, CRU	Rhinar, Reckless Rampage					40	4	P, P, P, C, C, T, C	Brute, Hero	Intimidate				Whenever you discard a card with 6 or more {p} during your action phase, **intimidate**. *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*		Brute Hero	Wisnu Tan		No		No												C – HER001 – N, R – HER021 – N, G – WIN001 – N, S – RNR001 – N, S – 1HP001 – N, S – WTR001 – A, S – WTR001 – U, S – CRU001 – F, S – CRU001 – U	https://storage.googleapis.com/fabmaster/media/images/HER001-P.width-450.png – HER001 – N, https://storage.googleapis.com/fabmaster/media/images/HER021-P.width-450.png – HER021 – N, https://storage.googleapis.com/fabmaster/media/images/RNR.width-450.png - RNR001 – N,  https://storage.googleapis.com/fabmaster/media/images/1HP001.width-450.png – 1HP001 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR001.png - WTR001 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR001.png – WTR001 – U, https://storage.googleapis.com/fabmaster/cardfaces/2020-CRU/CRU001.png – CRU001 – F, https://storage.googleapis.com/fabmaster/cardfaces/2021-U-CRU/U-CRU001.png – CRU001 – U			
HER005, HER054, XXX003, RNR002, RVD001, 1HP002, WTR002	HER, HER, XXX, RNR, RVD, 1HP, WTR	Rhinar					20	4	P, P, P, T, M, C, T	Brute, Hero, Young	Intimidate				When you discard a card with 6 or more {p} during your action phase, **intimidate**. *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*		Brute Hero – Young	Wisnu Tan																R – HER005 – N, C – HER054 – N, S – XXX003 – N, S – RNR002 – N, C – RVD001 – N, S – 1HP002 – N, S – WTR002 – A, S – WTR002 – U	https://storage.googleapis.com/fabmaster/media/images/HER005-P.width-450.png – HER005 – N, https://storage.googleapis.com/fabmaster/cardfaces/promos/XXX003.png – XXX003 – N, https://storage.googleapis.com/fabmaster/media/images/RNR2.width-450.png - RNR002 – N, https://storage.googleapis.com/fabmaster/media/images/RVD001.width-450.png – RVD001 – N, https://storage.googleapis.com/fabmaster/media/images/1HP002.width-450.png – 1HP002 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR002.png – WTR002 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR002.png – WTR002 – U			
LGS001, XXX005,  RNR003, 1HP006,WTR003, CRU003	LGS, XXX, RNR, 1HP, WTR, CRU	Romping Club			4				P, P, C, C, T, C	Brute, Weapon, Club, 2H		Once per Turn Action, Once per Turn Effect	Attack		"**Once per Turn Action** - {r}{r}: **Attack**

**Once per Turn Effect** – When you discard a card with 6 or more {p}, Romping Club gains +1{p} until end of turn."		"Brute Weapon - Club (2H)

"	Wisnu Tan																C – LGS001 – N, S – XXX005 – N, S – RNR003 – N, S – 1HP006 – N, S – WTR003 – A, S – WTR003 – U, S – CRU003 – F, R – CRU003 – U	https://storage.googleapis.com/fabmaster/media/images/LGS001-P.width-450.png - LGS001 – N, https://storage.googleapis.com/fabmaster/cardfaces/promos/XXX005.png – XXX005 – N, https://storage.googleapis.com/fabmaster/media/images/RNR3.width-450.png - RNR003 – N, https://storage.googleapis.com/fabmaster/media/images/1HP006.width-450.png – 1HP006 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR003.png – WTR003 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR003.png - WTR003 – U, https://storage.googleapis.com/fabmaster/cardfaces/2020-CRU/CRU003.png – CRU003 – F, https://storage.googleapis.com/fabmaster/cardfaces/2021-U-CRU/U-CRU003.png – CRU003 – U			
FAB003, 1HP007, WTR004	FAB, 1HP, WTR	Scabskin Leathers				2			P, L, L	Brute, Equipment, Legs	Battleworn	Once per turn Action			"**Once per turn Action** - 0: Roll a 6 sided die. Gain action points equal to half the number rolled, rounded down.

**Battleworn** *(If you defend with Scabskin Leathers, put a -1{d} counter on it when the combat chain closes.)*"		Brute Equipment - Legs	Ksenia Belova				No												G – FAB003 – N, S – 1HP007 – N, C – WTR004 – A, R – WTR004 – U	https://storage.googleapis.com/fabmaster/media/images/FAB003-P.width-450.png – FAB003 – N, https://storage.googleapis.com/fabmaster/media/images/1HP007.width-450.png – 1HP007 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR004.png – WTR004 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR004.png - WTR004 – U			
RNR005, 1HP008, WTR005	RNR, 1HP, WTR	Barkbone Strapping				1			C, C, C	Brute, Equipment, Chest	Battleworn	Instant			"**Instant** - Destroy Barkbone Strapping: Roll a 6 die. Gain {r} equal to half the number rolled, rounded down.

**Battleworn** *(If you defend with Barkbone Strapping, put a -1{d} counter on it when the combat chain closes.)*"		Brute Equipment – Chest	Ksenia Belova																S – RNR005 – N, S – 1HP008 – N, S C – WTR005 – A, S R – WTR005 – U	https://storage.googleapis.com/fabmaster/media/images/RNR5.width-450.png – RNR005 – N, https://storage.googleapis.com/fabmaster/media/images/1HP008.width-450.png – 1HP008 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR005.png – WTR005 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR005.png - WTR005 – U			
RVD008, 1HP010, WTR006	RVD, 1HP, WTR	Alpha Rampage	1	3	9	3			M, M, M	Brute, Attack, Action	Rhinar Specialization, Intimidate				"**Rhinar Specialization** *(You may only have Alpha Rampage in your deck if your hero is Rhinar)*

As an additional cost to play Alpha Rampage, discard a random card.

When you attack with Alpha Rampage, **intimidate**."		Brute Action – Attack	Adolfo Navarro				No												S – RVD008 – N, S – 1HP010 – N, S R – WTR006 – A, S R – WTR006 - U	https://storage.googleapis.com/fabmaster/media/images/RVD008.width-450.png – RVD008 – N, https://storage.googleapis.com/fabmaster/media/images/1HP010.width-450.png – 1HP010 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR006.png – WTR006 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR006.png – WTR006 – U			
1HP014, WTR007	1HP, WTR	Bloodrush Bellow	2	1		3			M, M	Brute, Action	Go again				"As an additional cost to play Bloodrush Bellow, discard a random card.

Your Brute attacks gain +2{p} this turn.

If the discarded card has 6 or more {p}, draw 2 cards and Bloodrush Bellow gains **go again**."		Brute Action	Wisnu Tan				No												S – 1HP014 – N, S R – WTR007 – A, S R – WTR007 – U	https://storage.googleapis.com/fabmaster/media/images/1HP014.width-450.png – 1HP014 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR007.png – WTR007 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR007.png – WTR007 – U			
1HP013, WTR008	1HP, WTR	Reckless Swing	3	0		4			M, S	Brute, Defense Reaction					"As an additional cost to play Reckless Swing, discard a random card.

If the discarded card has 6 or more {p}, deal 2 damage to the attacking hero."		Brute Defense Reaction	Arif Wijaya				No												S – 1HP013 – N, S R – WTR008 – A, S R – WTR008 – U	https://storage.googleapis.com/fabmaster/media/images/1HP013.width-450.png – 1HP013 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR008.png – WTR008 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR008.png – WTR008 – U			
1HP015, WTR009	1HP, WTR	Sand Sketched Plan	3	0		3			M, S	Brute, Action	Rhinar Specialization				"**Rhinar Specialization** *(You may only have Sand Sketched Plan your deck if your hero is Rhinar)*

Search your deck for a card, put it into your hand, discard a random card, then shuffle your deck.

If the discarded card has 6 or more {p}, gain 2 action points."		Brute Action	Ksenia Belova				No												S – 1HP015 – N, S R – WTR009 – A, S R – WTR009 – U	https://storage.googleapis.com/fabmaster/media/images/1HP015.width-450.png – 1HP015 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR009.png – WTR009 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR009.png – WTR009 – U			
WTR010	WTR	Bone Head Barrier	2	1					S	Brute, Instant					Roll a 6 sided die. Prevent the next X damage that would be dealt to your hero this turn, where X is the number rolled.	“Sometimes you gotta roll with the punches.”	Brute Instant	Ksenia Belova				No												S R – WTR010 – A, S R – WTR010 – U	https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR010.png – WTR010 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR010.png - WTR010 – U			
RNR008, 1HP016, WTR011	RNR, 1HP, WTR	Breakneck Battery	1	2	6	3			R, R, R	Brute, Action, Attack	Go again				"As an additional cost to play Breakneck Battery, discard a random card.

If the discarded card has 6 or more {p}, Breakneck Battery gains **go again**."		Brute Action – Attack	Adolfo Navarro				No												S – 1HP016 – N, S – RNR008 – N, S R – WTR011 – A, S R – WTR011 – U	https://storage.googleapis.com/fabmaster/media/images/1HP016.width-450.png – 1HP016 – N, https://storage.googleapis.com/fabmaster/media/images/RNR8.width-450.png – RNR008 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR011.png – WTR011 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR011.png – WTR011 – U			
1HP017, WTR012	1HP, WTR	Breakneck Battery	2	2	5	3			R, R	Brute, Action, Attack	Go again				"As an additional cost to play Breakneck Battery, discard a random card.

If the discarded card has 6 or more {p}, Breakneck Battery gains **go again**."		Brute Action – Attack	Adolfo Navarro				No												S – 1HP017 – N, S R – WTR012 – A, S R – WTR012 – U	https://storage.googleapis.com/fabmaster/media/images/1HP017.width-450.png – 1HP017 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR012.png – WTR012 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR012.png – WTR012 – U			
1HP018, WTR013	1HP, WTR	Breakneck Battery	3	2	4	3			R, R	Brute, Action, Attack	Go again				"As an additional cost to play Breakneck Battery, discard a random card.

If the discarded card has 6 or more {p}, Breakneck Battery gains **go again**."		Brute Action – Attack	Adolfo Navarro				No												S – 1HP018 – N, S R – WTR013 – A, S R – WTR013 – U	https://storage.googleapis.com/fabmaster/media/images/1HP018.width-450.png – 1HP018 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR013.png – WTR013 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR013.png – WTR013 – U			
RNR010, 1HP019, WTR014	RNR, 1HP, WTR	Savage Feast	1	1	6	3			R, R, R	Brute, Action, Attack					"As an additional cost to play Savage Feast discard a random card.

When you attack with Savage Feast, if a card with 6 or more {p} was discarded as an additional cost to play it, draw a card."		Brute Action – Attack	Vladimir Shatunov				No												S – RNR010 – N, S – 1HP019 – N, S R – WTR014 – A, S R – WTR014 – U	https://storage.googleapis.com/fabmaster/media/images/RNR10.width-450.png – RNR010 – N, https://storage.googleapis.com/fabmaster/media/images/1HP019.width-450.png – 1HP019 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR014.png – WTR014 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR014.png – WTR014 – U			
1HP020, WTR015	1HP, WTR	Savage Feast	2	1	5	3			R, R	Brute, Action, Attack					"As an additional cost to play Savage Feast discard a random card.

When you attack with Savage Feast, if a card with 6 or more {p} was discarded as an additional cost to play it, draw a card."		Brute Action – Attack	Vladimir Shatunov				No												S – 1HP020 – N, S R – WTR015 – A, S R – WTR015 – U	https://storage.googleapis.com/fabmaster/media/images/1HP020.width-450.png – 1HP020 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR015.png – WTR015 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR015.png – WTR015 – U			
1HP021, WTR016	1HP, WTR	Savage Feast	3	1	4	3			R, R	Brute, Action, Attack					"As an additional cost to play Savage Feast discard a random card.

When you attack with Savage Feast, if a card with 6 or more {p} was discarded as an additional cost to play it, draw a card."		Brute Action – Attack	Vladimir Shatunov				No												S – 1HP021 – N, S R – WTR016 – A, S R – WTR016 – U	https://storage.googleapis.com/fabmaster/media/images/1HP021.width-450.png – 1HP021 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR016.png – WTR016 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR016.png - WTR016 – U			
1HP022, WTR017	1HP, WTR	Barraging Beatdown	1	0		3			R, R	Brute, Action	Intimidate, Go again				"Your next Brute attack this turn gains “While this attack is defended by less than 2 non-equipment cards, it has +4{p}

**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*

**Go again**"		Brute Action	Olga Khariton				No												S – 1HP022 – N, S R – WTR017 – A, S R – WTR017 – U	https://storage.googleapis.com/fabmaster/media/images/1HP022.width-450.png – 1HP022 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR017.png – WTR017 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR017.png – WTR017 – U			
RNR018, RVD021, 1HP023, WTR018	RNR, RVD, 1HP, WTR	Barraging Beatdown	2	0		3			R, R, R, R	Brute, Action	Intimidate, Go again				"Your next Brute attack this turn gains “While this attack is defended by less than 2 non-equipment cards, it has +3{p}

**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*

**Go again**"		Brute Action	Olga Khariton				No												S – RNR018 – N, S – RVD021 – N, S – 1HP023 – N, S R – WTR018 – A, S R – WTR018 – U	https://storage.googleapis.com/fabmaster/media/images/RNR18.width-450.png – RNR018 – N, https://storage.googleapis.com/fabmaster/media/images/RVD021.width-450.png – RVD021 – N, https://storage.googleapis.com/fabmaster/media/images/1HP023.width-450.png – 1HP023 – N,  https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR018.png – WTR018 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR018.png – WTR018 – U			
RNR025, 1HP024, WTR019	RNR, 1HP, WTR	Barraging Beatdown	3	0		3			R, R, R	Brute, Action	Intimidate, Go again				"Your next Brute attack this turn gains “While this attack is defended by less than 2 non-equipment cards, it has +2{p}

**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*

**Go again**"		Brute Action	Olga Khariton				No												S – RNR025 – N, S – 1HP024 – N, S R – WTR019 – A, S R – WTR019 – U, S – RNR025 – N	https://storage.googleapis.com/fabmaster/media/images/RNR25.width-450.png – RNR025 – N, https://storage.googleapis.com/fabmaster/media/images/1HP024.width-450.png – 1HP024 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR019.png – WTR019 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR019.png – WTR019 – U			
RNR011, 1HP031, WTR020	RNR, 1HP, WTR	Savage Swing	1	1	7	3			C, C, C	Brute, Action, Attack					As an additional cost to play Savage Swing, discard a random card.	“I should have listened – no amount of money is worth coming to this wretched place.” 	Brute Action – Attack	Yulia Litvinova																S – RNR011 – N, S – 1HP031 – N, S R – WTR020 – A, S R – WTR020 – U	https://storage.googleapis.com/fabmaster/media/images/RNR11.width-450.png – RNR011 – N, https://storage.googleapis.com/fabmaster/media/images/1HP031.width-450.png – 1HP031 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR020.png – WTR020 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR020.png – WTR020 – U			
RNR016, 1HP032, WTR021	RNR, 1HP, WTR	Savage Swing	2	1	6	3			C, C, C	Brute, Action, Attack					As an additional cost to play Savage Swing, discard a random card.	“I should have listened – no amount of money is worth coming to this wretched place.” 	Brute Action – Attack	Yulia Litvinova																S – RNR016 – N, S – 1HP032 – N, S R – WTR021 – A, S R – WTR021 – U	https://storage.googleapis.com/fabmaster/media/images/RNR16.width-450.png – RNR016 – N, https://storage.googleapis.com/fabmaster/media/images/1HP032.width-450.png – 1HP032 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR021.png – WTR021 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR021.png – WTR021 – U			
1HP033, WTR022	1HP, WTR	Savage Swing	3	1	5	3			C, C	Brute, Action, Attack					As an additional cost to play Savage Swing, discard a random card.	“I should have listened – no amount of money is worth coming to this wretched place.” 	Brute Action – Attack	Yulia Litvinova																S – 1HP033 – N, S R – WTR022 – A, S R – WTR022 – U	https://storage.googleapis.com/fabmaster/media/images/1HP033.width-450.png – 1HP033 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR022.png – WTR022 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR022.png - WTR022 – U			
RNR009, RVD010, 1HP025, WTR023	RNR, RVD, 1HP, WTR	Pack Hunt	1	2	6	3			C, C, C, C	Brute, Action, Attack	Intimidate				When you attack with Pack Hunt, **intimidate**. *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*	Horrific beasts lurk within the shadows, their gaping maws dripping with blood.	Brute Action – Attack	Olga Khariton																S – RNR009 – N, S – RVD010 – N, S – 1HP025 – N, S R – WTR023 – A, S R – WTR023 – U	https://storage.googleapis.com/fabmaster/media/images/RNR9.width-450.png – RNR009 – N, https://storage.googleapis.com/fabmaster/media/images/RVD010.width-450.png – RVD010 – N, https://storage.googleapis.com/fabmaster/media/images/1HP025.width-450.png – 1HP025 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR023.png – WTR023 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR023.png – WTR023 – U			
1HP026, WTR024	1HP, WTR	Pack Hunt	2	2	5	3			C, C	Brute, Action, Attack	Intimidate				When you attack with Pack Hunt, **intimidate**. *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*	Horrific beasts lurk within the shadows, their gaping maws dripping with blood.	Brute Action – Attack	Olga Khariton																S – 1HP026 – N, R – WTR024 – A, S R – WTR024 – U	https://storage.googleapis.com/fabmaster/media/images/1HP026.width-450.png – 1HP026 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR024.png – WTR024 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR024.png – WTR024 – U			
1HP027, WTR025	1HP, WTR	Pack Hunt	3	2	4	3			C, C	Brute, Action, Attack	Intimidate				When you attack with Pack Hunt, **intimidate**. *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*	Horrific beasts lurk within the shadows, their gaping maws dripping with blood.	Brute Action – Attack	Olga Khariton																S – 1HP027 – N, S R – WTR025 – A, S R – WTR025 – U	https://storage.googleapis.com/fabmaster/media/images/1HP027.width-450.png – 1HP027 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR025.png – WTR025 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR025.png – WTR025 – U			
RNR012, 1HP034, WTR026	RNR, 1HP, WTR	Smash Instinct	1	3	7	3			C, C, C	Brute, Action, Attack	Intimidate				When you attack with Smash Instinct, **intimidate**. *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*	Following one’s instinct may be ill advised.	Brute Action – Attack	Olga Khariton																S – RNR012 – N, S – 1HP034 – N, S R – WTR026 – A, S R – WTR026 – U	https://storage.googleapis.com/fabmaster/media/images/RNR12.width-450.png – RNR012 – N,  https://storage.googleapis.com/fabmaster/media/images/1HP034.width-450.png – 1HP034 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR026.png – WTR026 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR026.png – WTR026 – U			
RNR017, RVD016, 1HP035, WTR027	RNR, RVD, 1HP, WTR	Smash Instinct	2	3	6	3			C, C, C, C	Brute, Action, Attack	Intimidate				When you attack with Smash Instinct, **intimidate**. *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*	Following one’s instinct may be ill advised.	Brute Action – Attack	Olga Khariton																S – RNR017 – N, S – RVD016 – N, S – 1HP035 – N, S R – WTR027 – A, S R – WTR027 – U	https://storage.googleapis.com/fabmaster/media/images/RNR17.width-450.png – RNR017 – N, https://storage.googleapis.com/fabmaster/media/images/RVD016.width-450.png – RVD016 – N, https://storage.googleapis.com/fabmaster/media/images/1HP035.width-450.png – 1HP035 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR027.png – WTR027 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR027.png – WTR027 – U			
1HP036, WTR028	1HP, WTR	Smash Instinct	3	3	5	3			C, C	Brute, Action, Attack	Intimidate				When you attack with Smash Instinct, **intimidate**. *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*	Following one’s instinct may be ill advised.	Brute Action – Attack	Olga Khariton																S – 1HP036 – N, S R – WTR028 – A, S R – WTR028 – U	https://storage.googleapis.com/fabmaster/media/images/1HP036.width-450.png – 1HP036 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR028.png – WTR028 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR028.png – WTR028 – U			
LGS020, RNR013, 1HP037, WTR029	LGS, RNR, 1HP, WTR	Wrecker Romp	1	2	8	3			P, C, C, C	Brute, Action, Attack					As an additional cost to play Wrecker Romp. Discard a random card.	The savage rule of the jungle; only the strong survive.	Brute Action – Attack	Arif Wijaya																R – LGS020 – N – EA, S – RNR013 – N, S – 1HP037 – N, S R – WTR029 – A, S R – WTR029 – U	https://storage.googleapis.com/fabmaster/media/images/LGS020.width-450.png – LGS020 – N – EA, https://storage.googleapis.com/fabmaster/media/images/RNR13.width-450.png – RNR013 – N, https://storage.googleapis.com/fabmaster/media/images/1HP037.width-450.png – 1HP037 – N, https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR029.png – WTR029 – A, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR029.png – WTR029 – U			
